ID,CREATED_AT,LOCATION,FOLLOWERS_COUNT,SCREEN_NAME,TWEET
1396572582019731456,2021-05-23 21:03:45,b'',1467,b'CaronaUpdates',"b'RT @latestly: Chhattisgarh Reports 3,375 New COVID-19 Cases, 7,587 Recoveries &amp; 75 Deaths in Past 24 Hours\n\n#COVID19 #Coronavirus #Chhattis\xe2\x80\xa6'"
1396527016489410560,2021-05-23 18:02:41,b'',168,b'MohitKumar10092',"b'RT @latestly: Chhattisgarh Reports 3,375 New COVID-19 Cases, 7,587 Recoveries &amp; 75 Deaths in Past 24 Hours\n\n#COVID19 #Coronavirus #Chhattis\xe2\x80\xa6'"
1396510444131553282,2021-05-23 16:56:50,b'',3572,b'dramithmpa',b'RT @luckbrar00003: @bhupeshbaghel #Chhattisgarh #surajpur #collector #upsc #ias dear cm please note this brutality of surajpur collector #R\xe2\x80\xa6'
1396499239585271808,2021-05-23 16:12:19,"b'Mumbai, India'",69943,b'latestly',"b'Chhattisgarh Reports 3,375 New COVID-19 Cases, 7,587 Recoveries &amp; 75 Deaths in Past 24 Hours\n\n#COVID19 #Coronavirus\xe2\x80\xa6 https://t.co/ydiUScpiDI'"
1396490909567488000,2021-05-23 15:39:13,b'Bangalore ',3,b'd0274023071a419',b'RT @ronakkotecha: #ChhattisgarhCM Bhupesh Baghel removed IAS officer Ranbir Sharma as the Surajpur district collector for slapping a 23 y/o\xe2\x80\xa6'
1396473625687969794,2021-05-23 14:30:32,"b'Dubai, United Arab Emirates'",784,b'ronakkotecha',b'#ChhattisgarhCM Bhupesh Baghel removed IAS officer Ranbir Sharma as the Surajpur district collector for slapping a\xe2\x80\xa6 https://t.co/y9pdmvQjUw'
1396449716871651329,2021-05-23 12:55:31,"b'New Delhi, India'",89,b'duinfomedia',"b'As per an order issued late Saturday evening by CGBSE secretary V K Goyal, the board has decided to conduct the tes\xe2\x80\xa6 https://t.co/QJHdA8Hc1V'"
1396342401837387779,2021-05-23 05:49:06,"b'here,there,everyWhere'",560,b'DumBUlL',"b'RT @soundarc2001: Chhattisgarh CM Baghel removes senior IAS officer seen on video slapping man\n\n#RanbirSharma, the collector of Surajpur di\xe2\x80\xa6'"
1396341704236568577,2021-05-23 05:46:19,b'Coimbatore/Sivakasi',427,b'soundarc2001',"b'Chhattisgarh CM Baghel removes senior IAS officer seen on video slapping man\n\n#RanbirSharma, the collector of Suraj\xe2\x80\xa6 https://t.co/L6ZRKtkJYO'"
1396332912371331081,2021-05-23 05:11:23,b'',146,b'newsistaan',b'The collector of Surajpur district in Chhattisgarh on Saturday apologised for slapping a man and throwing his phone\xe2\x80\xa6 https://t.co/M81BqhGedt'
1396322216975863817,2021-05-23 04:28:53,b'',181,b'Team_kartik3',b'RT @luckbrar00003: @bhupeshbaghel #Chhattisgarh #surajpur #collector #upsc #ias dear cm please note this brutality of surajpur collector #R\xe2\x80\xa6'
1396318991958777858,2021-05-23 04:16:04,b'',0,b'PrinceP13368637',b'RT @luckbrar00003: @bhupeshbaghel #Chhattisgarh #surajpur #collector #upsc #ias dear cm please note this brutality of surajpur collector #R\xe2\x80\xa6'
1396313968034029576,2021-05-23 03:56:06,"b'Raipur, Chhattisgarh'",376,b'rahulsingh1679',b'RT @luckbrar00003: @bhupeshbaghel #Chhattisgarh #surajpur #collector #upsc #ias dear cm please note this brutality of surajpur collector #R\xe2\x80\xa6'
1396274755804614656,2021-05-23 01:20:17,"b'Jaipur, India'",312,b'rkdev1995',b'RT @luckbrar00003: @bhupeshbaghel #Chhattisgarh #surajpur #collector #upsc #ias dear cm please note this brutality of surajpur collector #R\xe2\x80\xa6'
1396258959586074625,2021-05-23 00:17:31,b'',1642,b'MausamyC',b'RT @luckbrar00003: @bhupeshbaghel #Chhattisgarh #surajpur #collector #upsc #ias dear cm please note this brutality of surajpur collector #R\xe2\x80\xa6'
1396194349562490882,2021-05-22 20:00:47,"b'Ahmadnagar, India'",714,b'DrPrakashDJadha',b'RT @luckbrar00003: @bhupeshbaghel #Chhattisgarh #surajpur #collector #upsc #ias dear cm please note this brutality of surajpur collector #R\xe2\x80\xa6'
1396182319971459072,2021-05-22 19:12:59,b'',322,b'dharm98264',b'RT @luckbrar00003: @bhupeshbaghel #Chhattisgarh #surajpur #collector #upsc #ias dear cm please note this brutality of surajpur collector #R\xe2\x80\xa6'
1396181382582345732,2021-05-22 19:09:16,b'India',1076,b'Aseemgeete',b'RT @luckbrar00003: @bhupeshbaghel #Chhattisgarh #surajpur #collector #upsc #ias dear cm please note this brutality of surajpur collector #R\xe2\x80\xa6'
1396179909244964865,2021-05-22 19:03:24,b'India',90,b'shailendra__93',b'RT @luckbrar00003: @bhupeshbaghel #Chhattisgarh #surajpur #collector #upsc #ias dear cm please note this brutality of surajpur collector #R\xe2\x80\xa6'
1396176947206516736,2021-05-22 18:51:38,b'India',11,b'AIinExile',b'RT @luckbrar00003: @bhupeshbaghel #Chhattisgarh #surajpur #collector #upsc #ias dear cm please note this brutality of surajpur collector #R\xe2\x80\xa6'
