SNo,Organization,Website
13,Indian Institute of Technology (IIT) Ropar,http://www.iitrpr.ac.in/
14,Indian Institute of Technology (IIT) Mandi,http://www.iitmandi.ac.in/
15,Indian Institute of Technology (IIT) Roorkee,https://www.iitr.ac.in
16,Indian Institute of Technology (Banaras Hindu University) Varanasi,http://iitbhu.ac.in
17,Indian Institute of Technology (IIT) Jammu,http://iitjammu.ac.in
18,Indian Institute of Technology (IIT) Palakkad,http://iitpkd.ac.in
19,Indian Institute of Technology (IIT) Tirupati,http://iittp.ac.in/
20,Indian Institute of Technology (IIT) Goa,http://www.iitgoa.ac.in
21,Indian Institute of Technology (IIT) Bhilai,https://www.iitbhilai.ac.in/
22,Indian Institute of Technology (IIT) Dharwad,http://www.iitdh.ac.in/
23,Indian Institute of Technology (Indian School of Mines) Dhanbad,http://iitism.ac.in/
