Receipt_Location,Delivery_Location,Cycle,Start_Gas_Day,End_Gas_Day,Daily_Equivalent_FT,Load_Factor,Bid_Floor
Bayhurst 1,Centram MDA,Timely,2020-11-01,9999-12-31,0.4528,295,1.3358
Bayhurst 1,Centram SSDA,Timely,2020-11-01,9999-12-31,0.3328,295,0.9818
Bayhurst 1,Centrat MDA,Timely,2020-11-01,9999-12-31,0.5065,295,1.4942
Bayhurst 1,Chippawa,Timely,2020-11-01,9999-12-31,1.3693,295,4.0394
Bayhurst 1,Cornwall,Timely,2020-11-01,9999-12-31,1.4275,295,4.2111
Bayhurst 1,Dawn Export,Timely,2020-11-01,9999-12-31,1.2336,295,3.6391
Bayhurst 1,East Hereford,Timely,2020-11-01,9999-12-31,1.5873,295,4.6825
Bayhurst 1,Emerson 1,Timely,2020-11-01,9999-12-31,0.5159,295,1.5219
Bayhurst 1,Emerson 2,Timely,2020-11-01,9999-12-31,0.5159,295,1.5219
Bayhurst 1,Empress,Timely,2020-11-01,9999-12-31,0.0878,295,0.2590
Bayhurst 1,Enbridge CDA,Timely,2020-11-01,9999-12-31,1.3622,295,4.0185
Bayhurst 1,Enbridge EDA,Timely,2020-11-01,9999-12-31,1.4034,295,4.1400
Bayhurst 1,Enbridge Parkway CDA,Timely,2020-11-01,9999-12-31,1.3354,295,3.9394
Bayhurst 1,Enbridge SWDA,Timely,2020-11-01,9999-12-31,1.2336,295,3.6391
Bayhurst 1,Energir EDA,Timely,2020-11-01,9999-12-31,1.5033,295,4.4347
Bayhurst 1,Energir NDA,Timely,2020-11-01,9999-12-31,1.1552,295,3.4078
Bayhurst 1,Iroquois,Timely,2020-11-01,9999-12-31,1.4126,295,4.1672
Bayhurst 1,KPUC EDA,Timely,2020-11-01,9999-12-31,1.4637,295,4.3179
Bayhurst 1,Kirkwall,Timely,2020-11-01,9999-12-31,1.3182,295,3.8887
Bayhurst 1,Napierville,Timely,2020-11-01,9999-12-31,1.4965,295,4.4147
Bayhurst 1,Niagara Falls,Timely,2020-11-01,9999-12-31,1.3682,295,4.0362
Bayhurst 1,North Bay Junction,Timely,2020-11-01,9999-12-31,1.2087,295,3.5657
Bayhurst 1,Philipsburg,Timely,2020-11-01,9999-12-31,1.5043,295,4.4377
Bayhurst 1,Spruce,Timely,2020-11-01,9999-12-31,0.5065,295,1.4942
Bayhurst 1,St. Clair,Timely,2020-11-01,9999-12-31,1.2122,295,3.5760
Bayhurst 1,TCPL NDA,Timely,2020-11-01,9999-12-31,1.0599,295,3.1267
Bayhurst 1,TCPL WDA,Timely,2020-11-01,9999-12-31,0.7971,295,2.3514
Bayhurst 1,TPLP NDA,Timely,2020-11-01,9999-12-31,0.9442,295,2.7854
Bayhurst 1,Transgas SSDA,Timely,2020-11-01,9999-12-31,0.2538,295,0.7487
Bayhurst 1,Union CDA,Timely,2020-11-01,9999-12-31,1.3330,295,3.9324
Bayhurst 1,Union ECDA,Timely,2020-11-01,9999-12-31,1.3405,295,3.9545
Bayhurst 1,Union EDA,Timely,2020-11-01,9999-12-31,1.4341,295,4.2306
Bayhurst 1,Union NCDA,Timely,2020-11-01,9999-12-31,1.2980,295,3.8291
Bayhurst 1,Union NDA,Timely,2020-11-01,9999-12-31,1.1316,295,3.3382
Bayhurst 1,Union Parkway Belt,Timely,2020-11-01,9999-12-31,1.3354,295,3.9394
Bayhurst 1,Union SSMDA,Timely,2020-11-01,9999-12-31,1.0251,295,3.0240
Bayhurst 1,Union SWDA,Timely,2020-11-01,9999-12-31,1.2320,295,3.6344
Bayhurst 1,Union WDA,Timely,2020-11-01,9999-12-31,0.7310,295,2.1565
Bayhurst 1,Welwyn,Timely,2020-11-01,9999-12-31,0.3328,295,0.9818
Centram MDA,Centram MDA,Timely,2020-11-01,9999-12-31,0.0743,295,0.2192
Centram MDA,Centram SSDA,Timely,2020-11-01,9999-12-31,0.1943,295,0.5732
Centram MDA,Centrat MDA,Timely,2020-11-01,9999-12-31,0.1292,295,0.3811
Centram MDA,Chippawa,Timely,2020-11-01,9999-12-31,0.9879,295,2.9143
Centram MDA,Cornwall,Timely,2020-11-01,9999-12-31,1.0469,295,3.0884
Centram MDA,Dawn Export,Timely,2020-11-01,9999-12-31,0.8523,295,2.5143
Centram MDA,East Hereford,Timely,2020-11-01,9999-12-31,1.2067,295,3.5598
Centram MDA,Emerson 1,Timely,2020-11-01,9999-12-31,0.1379,295,0.4068
Centram MDA,Emerson 2,Timely,2020-11-01,9999-12-31,0.1379,295,0.4068
Centram MDA,Empress,Timely,2020-11-01,9999-12-31,0.4662,295,1.3753
Centram MDA,Enbridge CDA,Timely,2020-11-01,9999-12-31,0.9807,295,2.8931
Centram MDA,Enbridge EDA,Timely,2020-11-01,9999-12-31,1.0227,295,3.0170
Centram MDA,Enbridge Parkway CDA,Timely,2020-11-01,9999-12-31,0.9541,295,2.8146
Centram MDA,Enbridge SWDA,Timely,2020-11-01,9999-12-31,0.8523,295,2.5143
Centram MDA,Energir EDA,Timely,2020-11-01,9999-12-31,1.1227,295,3.3120
Centram MDA,Energir NDA,Timely,2020-11-01,9999-12-31,0.7780,295,2.2951
Centram MDA,Iroquois,Timely,2020-11-01,9999-12-31,1.0320,295,3.0444
Centram MDA,KPUC EDA,Timely,2020-11-01,9999-12-31,1.0821,295,3.1922
Centram MDA,Kirkwall,Timely,2020-11-01,9999-12-31,0.9369,295,2.7639
Centram MDA,Napierville,Timely,2020-11-01,9999-12-31,1.1159,295,3.2919
Centram MDA,Niagara Falls,Timely,2020-11-01,9999-12-31,0.9869,295,2.9114
Centram MDA,North Bay Junction,Timely,2020-11-01,9999-12-31,0.8315,295,2.4529
Centram MDA,Philipsburg,Timely,2020-11-01,9999-12-31,1.1237,295,3.3149
Centram MDA,Spruce,Timely,2020-11-01,9999-12-31,0.1292,295,0.3811
Centram MDA,St. Clair,Timely,2020-11-01,9999-12-31,0.8343,295,2.4612
Centram MDA,TCPL NDA,Timely,2020-11-01,9999-12-31,0.6827,295,2.0140
Centram MDA,TCPL WDA,Timely,2020-11-01,9999-12-31,0.4198,295,1.2384
Centram MDA,TPLP NDA,Timely,2020-11-01,9999-12-31,0.5669,295,1.6724
Centram MDA,Transgas SSDA,Timely,2020-11-01,9999-12-31,0.2733,295,0.8062
Centram MDA,Union CDA,Timely,2020-11-01,9999-12-31,0.9516,295,2.8072
Centram MDA,Union ECDA,Timely,2020-11-01,9999-12-31,0.9592,295,2.8296
Centram MDA,Union EDA,Timely,2020-11-01,9999-12-31,1.0528,295,3.1058
Centram MDA,Union NCDA,Timely,2020-11-01,9999-12-31,0.9174,295,2.7063
Centram MDA,Union NDA,Timely,2020-11-01,9999-12-31,0.7542,295,2.2249
Centram MDA,Union Parkway Belt,Timely,2020-11-01,9999-12-31,0.9541,295,2.8146
Centram MDA,Union SSMDA,Timely,2020-11-01,9999-12-31,0.6471,295,1.9089
Centram MDA,Union SWDA,Timely,2020-11-01,9999-12-31,0.8507,295,2.5096
Centram MDA,Union WDA,Timely,2020-11-01,9999-12-31,0.3537,295,1.0434
Centram MDA,Welwyn,Timely,2020-11-01,9999-12-31,0.1943,295,0.5732
Centram SSDA,Centram MDA,Timely,2020-11-01,9999-12-31,0.1943,295,0.5732
Centram SSDA,Centram SSDA,Timely,2020-11-01,9999-12-31,0.0743,295,0.2192
Centram SSDA,Centrat MDA,Timely,2020-11-01,9999-12-31,0.2480,295,0.7316
Centram SSDA,Chippawa,Timely,2020-11-01,9999-12-31,1.1086,295,3.2704
Centram SSDA,Cornwall,Timely,2020-11-01,9999-12-31,1.1668,295,3.4421
Centram SSDA,Dawn Export,Timely,2020-11-01,9999-12-31,0.9729,295,2.8701
Centram SSDA,East Hereford,Timely,2020-11-01,9999-12-31,1.3266,295,3.9135
Centram SSDA,Emerson 1,Timely,2020-11-01,9999-12-31,0.2574,295,0.7593
Centram SSDA,Emerson 2,Timely,2020-11-01,9999-12-31,0.2574,295,0.7593
Centram SSDA,Empress,Timely,2020-11-01,9999-12-31,0.3463,295,1.0216
Centram SSDA,Enbridge CDA,Timely,2020-11-01,9999-12-31,1.1015,295,3.2494
Centram SSDA,Enbridge EDA,Timely,2020-11-01,9999-12-31,1.1427,295,3.3710
Centram SSDA,Enbridge Parkway CDA,Timely,2020-11-01,9999-12-31,1.0747,295,3.1704
Centram SSDA,Enbridge SWDA,Timely,2020-11-01,9999-12-31,0.9729,295,2.8701
Centram SSDA,Energir EDA,Timely,2020-11-01,9999-12-31,1.2426,295,3.6657
Centram SSDA,Energir NDA,Timely,2020-11-01,9999-12-31,0.8968,295,2.6456
Centram SSDA,Iroquois,Timely,2020-11-01,9999-12-31,1.1519,295,3.3981
Centram SSDA,KPUC EDA,Timely,2020-11-01,9999-12-31,1.2029,295,3.5486
Centram SSDA,Kirkwall,Timely,2020-11-01,9999-12-31,1.0575,295,3.1196
Centram SSDA,Napierville,Timely,2020-11-01,9999-12-31,1.2357,295,3.6453
Centram SSDA,Niagara Falls,Timely,2020-11-01,9999-12-31,1.1075,295,3.2671
Centram SSDA,North Bay Junction,Timely,2020-11-01,9999-12-31,0.9503,295,2.8034
Centram SSDA,Philipsburg,Timely,2020-11-01,9999-12-31,1.2436,295,3.6686
